Format,Width (mm),Height (mm),Area (mm^2),Aspect Ratio,Half Diagonal
Full-Circle,40,40,1600,1,28.28427125
Full-Frame,36,24,864,1.5,21.63330765
APS-C,23.6,15.6,368.16,1.512820513,14.14496377
APS-H,27.9,18.6,518.94,1.5,16.76581343
Micro Four Thirds,17.3,13,224.9,1.330769231,10.82000462
"1""",13.2,8.8,116.16,1.5,7.932212806
Super 35,22,16,352,1.375,13.60147051
Super 16,12.52,7.41,92.7732,1.689608637,7.274243947
Super 8,5.79,4.01,23.2179,1.443890274,3.521512459
Crop Medium Format Digital,44,33,1452,1.333333333,27.5
Medium Format Digital,53.7,40.2,2158.74,1.335820896,33.54001342
Medium Format Film 6x4.5,56,42,2352,1.333333333,35
Medium Format Film 6x6,56,56,3136,1,39.59797975
Medium Format Film 6x7,67,56,3752,1.196428571,43.66062299
Imax Film,70.41,52.63,3705.6783,1.337830135,43.95305735
Large Format Film 4x5,121,97,11737,1.24742268,77.5403121
Large Format Film 5x7,178,127,22606,1.401574803,109.3309197
Large Format Film 8x10,254,203,51562,1.251231527,162.5769049
